RANK,COUNTRY / TERRITORY,PLAYER,CHANGE ,WIN-LOSE,PRIZE MONEY,POINTS / TMTS,HEIGHT,AGE AS AT 2020,NATIONAL TEAM SINCE,RACKET MANUFACTURER
26,SGP,YEO Jia Min,0,146 - 79,"$36,987.50 ","40,015 / 20",163,21,2013,Li Ning
27,SCO,Kirsty GILMOUR,0,266 - 136,"$101,808.00 ","39,315 / 21",168,26,2010,Victor
28,THA,Phittayaporn CHAIWAN,0,181 - 61,"$22,883.75 ","38,852 / 16",,19,,Yonex
29,MAS,Soniia CHEAH,0,125 - 100,"$51,876.50 ","38,681 / 18",168,26,2011,Victor
30,HKG,CHEUNG Ngan Yi,1 ,121 - 136,"$84,585.00 ","38,610 / 21",,27,2010,Yonex
31,CHN,CHEN Xiao Xin,1 ,77 - 57,"$76,697.50 ","38,320 / 12",170,22,2014,Li Ning
32,TUR,Neslihan YIGIT,1 ,305 - 117,"$39,284.75 ","35,463 / 21",180,26,2005,Yonex
33,INA,Fitriani FITRIANI,1 ,112 - 96,"$64,053.50 ","35,274 / 20",,21,,Victor
34,DEN,Line Højmark KJAERSFELDT,6 ,205 - 148,"$90,111.25 ","34,490 / 17",174,26,2012,FZ
35,INA,Ruselli HARTAWAN,1 ,121 - 89,"$30,721.25 ","34,220 / 16",,22,,Yonex
36,TPE,PAI Yu Po,1 ,139 - 143,"$66,235.00 ","34,051 / 18",173,29,2014,Victor
37,FRA,QI Xuefei,1 ,109 - 31,"$20,099.50 ","33,896 / 20",,28,,FZ
38,CHN,ZHANG Yi Man,6 ,66 - 52,"$35,932.50 ","33,830 / 18",168,23,,Li Ning
39,THA,Porntip BURANAPRASERTSUK,0,276 - 194,"$152,235.50 ","33,480 / 15",165,28,2005,Li Ning
40,KOR,KIM Hyo Min,1 ,140 - 99,"$55,875.50 ","30,490 / 16",174,24,2013,Victor
41,CAN,Brittney TAM,1 ,98 - 71,"$10,467.50 ","30,418 / 24",167,22,2016,Yonex
42,VIE,Thuy Linh NGUYEN,2 ,113 - 63,"$15,266.50 ","30,416 / 15",,22,,Yonex
43,JPN,Saena KAWAKAMI,8 ,109 - 47,"$87,050.00 ","30,380 / 10",,22,,Yonex
44,GER,Yvonne LI,1 ,171 - 107,"$16,315.00 ","30,033 / 24",171,22,2014,Yonex
45,BEL,Lianne TAN,0,216 - 193,"$16,283.00 ","29,337 / 22",163,29,2007,Yonex
46,THA,Supanida KATETHONG,1 ,104 - 58,"$22,407.50 ","29,200 / 14",163,22,20150,Victor
,,,,,,,,,,
47,VIE,Thi Trang (B) VU,2 ,162 - 111,"$27,656.50 ","28,555 / 15",165,28,,Yonex
,,,,,,,,,,
48,DEN,Julie Dawall JAKOBSEN,0,178 - 75,"$19,688.00 ","28,356 / 16",171,22,2014,FZ
,,,,,,,,,,
49,SUI,Sabrina JAQUET,1 ,223 - 194,"$25,300.95 ","27,935 / 17",,32,,Victor
,,,,,,,,,,
50,USA,Iris WANG,1 ,161 - 131,"$24,424.25 ","27,649 / 16",160,25,2010,Yonex
